CHASSIS_NUMBER,MODEL,YEAR,ENGINE_TYPE,MSRP,RELIABILITY_RATING
VIN00039,T2000,2021,Diesel Turbo,85000,4
VIN00040,T6000,2023,Diesel 8-Cylinder,135000,3
VIN00041,T9000,2020,Diesel 6-Cylinder,195000,2
VIN00042,T4000,2024,Diesel 6-Cylinder,110000,4
VIN00043,T2000,2021,Diesel Turbo,85000,4
VIN00044,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00045,T8000,2022,Diesel 8-Cylinder,160000,3
VIN00046,T2000,2024,Diesel Turbo,85000,4
VIN00047,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00048,T6000,2024,Diesel 8-Cylinder,135000,3
VIN00049,T9000,2020,Diesel 6-Cylinder,195000,2
VIN00050,T2000,2020,Diesel Turbo,85000,4
VIN00051,T4000,2022,Diesel 8-Cylinder,110000,4
VIN00052,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00053,T6000,2022,Diesel Turbo,135000,3
VIN00054,T4000,2020,Diesel 6-Cylinder,110000,4
VIN00055,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00056,T2000,2021,Diesel Turbo,85000,4
VIN00057,T9000,2021,Diesel Turbo,195000,2
VIN00058,T4000,2023,Diesel Turbo,110000,4
VIN00059,T2000,2020,Diesel Turbo,85000,4
VIN00060,T9000,2024,Diesel 6-Cylinder,195000,2
VIN00061,T8000,2024,Diesel Turbo,160000,3
VIN00062,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00063,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00064,T2000,2021,Diesel Turbo,85000,4
VIN00065,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00066,T9000,2021,Diesel 6-Cylinder,195000,2
VIN00067,T8000,2021,Diesel 8-Cylinder,160000,3
VIN00068,T2000,2022,Diesel 8-Cylinder,85000,4
VIN00069,T8000,2021,Diesel 8-Cylinder,160000,3
VIN00070,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00071,T8000,2023,Diesel 6-Cylinder,160000,3
VIN00072,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00073,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00074,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00075,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00076,T4000,2024,Diesel 8-Cylinder,110000,4
VIN00077,T6000,2024,Diesel 8-Cylinder,135000,3
VIN00078,T9000,2020,Diesel 8-Cylinder,195000,2
VIN00079,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00080,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00081,T6000,2022,Diesel 8-Cylinder,135000,3
VIN00082,T6000,2024,Diesel 6-Cylinder,135000,3
VIN00083,T4000,2024,Diesel 6-Cylinder,110000,4
VIN00084,T2000,2023,Diesel 6-Cylinder,85000,4
VIN00085,T4000,2024,Diesel Turbo,110000,4
VIN00086,T6000,2021,Diesel 8-Cylinder,135000,3
VIN00087,T4000,2022,Diesel Turbo,110000,4
VIN00088,T2000,2020,Diesel Turbo,85000,4
VIN00089,T9000,2024,Diesel 8-Cylinder,195000,2
VIN00090,T6000,2022,Diesel 8-Cylinder,135000,3
VIN00091,T6000,2024,Diesel 6-Cylinder,135000,3
VIN00092,T2000,2023,Diesel Turbo,85000,4
VIN00093,T6000,2021,Diesel Turbo,135000,3
VIN00094,T4000,2023,Diesel Turbo,110000,4
VIN00095,T8000,2022,Diesel 8-Cylinder,160000,3
VIN00096,T2000,2024,Diesel Turbo,85000,4
VIN00097,T6000,2023,Diesel 8-Cylinder,135000,3
VIN00098,T4000,2021,Diesel Turbo,110000,4
VIN00099,T4000,2021,Diesel Turbo,110000,4
VIN00100,T2000,2024,Diesel Turbo,85000,4
VIN00101,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00102,T8000,2021,Diesel Turbo,160000,3
VIN00103,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00104,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00105,T6000,2020,Diesel 8-Cylinder,135000,3
VIN00106,T4000,2024,Diesel 6-Cylinder,110000,4
VIN00107,T6000,2023,Diesel 8-Cylinder,135000,3
VIN00108,T4000,2021,Diesel Turbo,110000,4
VIN00109,T6000,2020,Diesel 8-Cylinder,135000,3
VIN00110,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00111,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00112,T4000,2023,Diesel Turbo,110000,4
VIN00113,T4000,2024,Diesel Turbo,110000,4
VIN00114,T2000,2023,Diesel Turbo,85000,4
VIN00115,T8000,2024,Diesel 8-Cylinder,160000,3
VIN00116,T8000,2024,Diesel 8-Cylinder,160000,3
VIN00117,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00118,T2000,2021,Diesel Turbo,85000,4
VIN00119,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00120,T6000,2022,Diesel 8-Cylinder,135000,3
VIN00121,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00122,T2000,2022,Diesel Turbo,85000,4
VIN00123,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00124,T4000,2021,Diesel Turbo,110000,4
VIN00125,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00126,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00127,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00128,T9000,2024,Diesel Turbo,195000,2
VIN00129,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00130,T4000,2022,Diesel 8-Cylinder,110000,4
VIN00131,T8000,2023,Diesel Turbo,160000,3
VIN00132,T6000,2024,Diesel Turbo,135000,3
VIN00133,T8000,2023,Diesel 6-Cylinder,160000,3
VIN00134,T2000,2023,Diesel 6-Cylinder,85000,4
VIN00135,T4000,2023,Diesel Turbo,110000,4
VIN00136,T2000,2023,Diesel 6-Cylinder,85000,4
VIN00137,T9000,2024,Diesel 6-Cylinder,195000,2
VIN00138,T9000,2024,Diesel Turbo,195000,2
VIN00139,T6000,2020,Diesel Turbo,135000,3
VIN00140,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00141,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00142,T2000,2022,Diesel 8-Cylinder,85000,4
VIN00143,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00144,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00145,T8000,2023,Diesel 6-Cylinder,160000,3
VIN00146,T6000,2020,Diesel 8-Cylinder,135000,3
VIN00147,T2000,2020,Diesel Turbo,85000,4
VIN00148,T2000,2020,Diesel 6-Cylinder,85000,4
VIN00149,T2000,2020,Diesel Turbo,85000,4
VIN00150,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00151,T6000,2024,Diesel 6-Cylinder,135000,3
VIN00152,T4000,2022,Diesel 8-Cylinder,110000,4
VIN00153,T2000,2024,Diesel Turbo,85000,4
VIN00154,T6000,2021,Diesel 8-Cylinder,135000,3
VIN00155,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00156,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00157,T9000,2021,Diesel 6-Cylinder,195000,2
VIN00158,T4000,2021,Diesel 6-Cylinder,110000,4
VIN00159,T6000,2022,Diesel Turbo,135000,3
VIN00160,T6000,2020,Diesel Turbo,135000,3
VIN00161,T8000,2022,Diesel Turbo,160000,3
VIN00162,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00163,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00164,T8000,2023,Diesel 6-Cylinder,160000,3
VIN00165,T4000,2022,Diesel Turbo,110000,4
VIN00166,T8000,2023,Diesel Turbo,160000,3
VIN00167,T2000,2021,Diesel Turbo,85000,4
VIN00168,T4000,2022,Diesel Turbo,110000,4
VIN00169,T8000,2024,Diesel 8-Cylinder,160000,3
VIN00170,T4000,2024,Diesel 8-Cylinder,110000,4
VIN00171,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00172,T2000,2023,Diesel 6-Cylinder,85000,4
VIN00173,T8000,2024,Diesel Turbo,160000,3
VIN00174,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00175,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00176,T4000,2022,Diesel 8-Cylinder,110000,4
VIN00177,T2000,2024,Diesel Turbo,85000,4
VIN00178,T8000,2024,Diesel 6-Cylinder,160000,3
VIN00179,T4000,2021,Diesel 6-Cylinder,110000,4
VIN00180,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00181,T4000,2021,Diesel Turbo,110000,4
VIN00182,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00183,T8000,2020,Diesel 8-Cylinder,160000,3
VIN00184,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00185,T6000,2022,Diesel 8-Cylinder,135000,3
VIN00186,T4000,2022,Diesel 8-Cylinder,110000,4
VIN00187,T9000,2024,Diesel 8-Cylinder,195000,2
VIN00188,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00189,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00190,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00191,T6000,2021,Diesel 6-Cylinder,135000,3
VIN00192,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00193,T6000,2024,Diesel Turbo,135000,3
VIN00194,T2000,2020,Diesel 6-Cylinder,85000,4
VIN00195,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00196,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00197,T2000,2020,Diesel Turbo,85000,4
VIN00198,T2000,2021,Diesel Turbo,85000,4
VIN00199,T8000,2023,Diesel 6-Cylinder,160000,3
VIN00200,T8000,2024,Diesel 8-Cylinder,160000,3
VIN00201,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00202,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00203,T9000,2023,Diesel 6-Cylinder,195000,2
VIN00204,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00205,T2000,2020,Diesel 6-Cylinder,85000,4
VIN00206,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00207,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00208,T4000,2023,Diesel Turbo,110000,4
VIN00209,T4000,2024,Diesel 6-Cylinder,110000,4
VIN00210,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00211,T9000,2022,Diesel Turbo,195000,2
VIN00212,T9000,2022,Diesel Turbo,195000,2
VIN00213,T6000,2024,Diesel Turbo,135000,3
VIN00214,T2000,2021,Diesel Turbo,85000,4
VIN00215,T2000,2020,Diesel 6-Cylinder,85000,4
VIN00216,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00217,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00218,T6000,2023,Diesel 8-Cylinder,135000,3
VIN00219,T2000,2022,Diesel Turbo,85000,4
VIN00220,T2000,2023,Diesel 6-Cylinder,85000,4
VIN00221,T6000,2022,Diesel Turbo,135000,3
VIN00222,T4000,2021,Diesel 8-Cylinder,110000,4
VIN00223,T2000,2021,Diesel Turbo,85000,4
VIN00224,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00225,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00226,T4000,2024,Diesel 8-Cylinder,110000,4
VIN00227,T4000,2023,Diesel Turbo,110000,4
VIN00228,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00229,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00230,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00231,T6000,2024,Diesel 8-Cylinder,135000,3
VIN00232,T2000,2021,Diesel Turbo,85000,4
VIN00233,T8000,2024,Diesel Turbo,160000,3
VIN00234,T9000,2022,Diesel Turbo,195000,2
VIN00235,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00236,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00237,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00238,T6000,2023,Diesel 6-Cylinder,135000,3
VIN00239,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00240,T2000,2020,Diesel 6-Cylinder,85000,4
VIN00241,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00242,T6000,2023,Diesel Turbo,135000,3
VIN00243,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00244,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00245,T8000,2020,Diesel Turbo,160000,3
VIN00246,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00247,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00248,T6000,2023,Diesel Turbo,135000,3
VIN00249,T4000,2020,Diesel 6-Cylinder,110000,4
VIN00250,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00251,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00252,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00253,T6000,2022,Diesel Turbo,135000,3
VIN00254,T2000,2023,Diesel 6-Cylinder,85000,4
VIN00255,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00256,T9000,2021,Diesel 8-Cylinder,195000,2
VIN00257,T9000,2022,Diesel Turbo,195000,2
VIN00258,T6000,2023,Diesel 8-Cylinder,135000,3
VIN00259,T9000,2021,Diesel 8-Cylinder,195000,2
VIN00260,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00261,T9000,2024,Diesel Turbo,195000,2
VIN00262,T8000,2020,Diesel 8-Cylinder,160000,3
VIN00263,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00264,T9000,2024,Diesel 8-Cylinder,195000,2
VIN00265,T8000,2022,Diesel Turbo,160000,3
VIN00266,T2000,2024,Diesel Turbo,85000,4
VIN00267,T9000,2023,Diesel 6-Cylinder,195000,2
VIN00268,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00269,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00270,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00271,T9000,2021,Diesel Turbo,195000,2
VIN00272,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00273,T2000,2023,Diesel Turbo,85000,4
VIN00274,T9000,2023,Diesel 8-Cylinder,195000,2
VIN00275,T9000,2021,Diesel 8-Cylinder,195000,2
VIN00276,T9000,2021,Diesel Turbo,195000,2
VIN00277,T9000,2022,Diesel 6-Cylinder,195000,2
VIN00278,T8000,2023,Diesel 6-Cylinder,160000,3
VIN00279,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00280,T6000,2023,Diesel Turbo,135000,3
VIN00281,T9000,2020,Diesel 8-Cylinder,195000,2
VIN00282,T8000,2022,Diesel 8-Cylinder,160000,3
VIN00283,T6000,2023,Diesel Turbo,135000,3
VIN00284,T2000,2022,Diesel Turbo,85000,4
VIN00285,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00286,T6000,2023,Diesel Turbo,135000,3
VIN00287,T2000,2020,Diesel 6-Cylinder,85000,4
VIN00288,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00289,T6000,2023,Diesel 6-Cylinder,135000,3
VIN00290,T8000,2020,Diesel 8-Cylinder,160000,3
VIN00291,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00292,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00293,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00294,T2000,2023,Diesel Turbo,85000,4
VIN00295,T6000,2021,Diesel 6-Cylinder,135000,3
VIN00296,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00297,T6000,2021,Diesel 8-Cylinder,135000,3
VIN00298,T9000,2021,Diesel 6-Cylinder,195000,2
VIN00299,T4000,2022,Diesel 8-Cylinder,110000,4
VIN00300,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00301,T9000,2024,Diesel 6-Cylinder,195000,2
VIN00302,T2000,2022,Diesel Turbo,85000,4
VIN00303,T2000,2023,Diesel Turbo,85000,4
VIN00304,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00305,T9000,2023,Diesel 6-Cylinder,195000,2
VIN00306,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00307,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00308,T9000,2023,Diesel 8-Cylinder,195000,2
VIN00309,T2000,2020,Diesel Turbo,85000,4
VIN00310,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00311,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00312,T6000,2024,Diesel 8-Cylinder,135000,3
VIN00313,T6000,2021,Diesel Turbo,135000,3
VIN00314,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00315,T8000,2020,Diesel Turbo,160000,3
VIN00316,T4000,2021,Diesel 6-Cylinder,110000,4
VIN00317,T9000,2022,Diesel Turbo,195000,2
VIN00318,T4000,2021,Diesel 6-Cylinder,110000,4
VIN00319,T8000,2022,Diesel Turbo,160000,3
VIN00320,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00321,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00322,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00323,T4000,2020,Diesel 6-Cylinder,110000,4
VIN00324,T8000,2021,Diesel Turbo,160000,3
VIN00325,T6000,2023,Diesel Turbo,135000,3
VIN00326,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00327,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00328,T4000,2022,Diesel Turbo,110000,4
VIN00329,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00330,T6000,2023,Diesel 6-Cylinder,135000,3
VIN00331,T6000,2024,Diesel 8-Cylinder,135000,3
VIN00332,T9000,2021,Diesel Turbo,195000,2
VIN00333,T2000,2023,Diesel Turbo,85000,4
VIN00334,T2000,2023,Diesel 6-Cylinder,85000,4
VIN00335,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00336,T9000,2020,Diesel 6-Cylinder,195000,2
VIN00337,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00338,T4000,2022,Diesel Turbo,110000,4
VIN00339,T9000,2024,Diesel 8-Cylinder,195000,2
VIN00340,T4000,2021,Diesel 8-Cylinder,110000,4
VIN00341,T6000,2023,Diesel Turbo,135000,3
VIN00342,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00343,T6000,2021,Diesel 8-Cylinder,135000,3
VIN00344,T4000,2021,Diesel 8-Cylinder,110000,4
VIN00345,T2000,2022,Diesel Turbo,85000,4
VIN00346,T9000,2022,Diesel 6-Cylinder,195000,2
VIN00347,T4000,2021,Diesel 6-Cylinder,110000,4
VIN00348,T9000,2023,Diesel 6-Cylinder,195000,2
VIN00349,T6000,2024,Diesel 6-Cylinder,135000,3
VIN00350,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00351,T9000,2024,Diesel 6-Cylinder,195000,2
VIN00352,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00353,T4000,2021,Diesel 8-Cylinder,110000,4
VIN00354,T8000,2024,Diesel 6-Cylinder,160000,3
VIN00355,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00356,T4000,2021,Diesel 6-Cylinder,110000,4
VIN00357,T6000,2020,Diesel 6-Cylinder,135000,3
VIN00358,T2000,2021,Diesel Turbo,85000,4
VIN00359,T2000,2021,Diesel 8-Cylinder,85000,4
VIN00360,T2000,2023,Diesel Turbo,85000,4
VIN00361,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00362,T4000,2022,Diesel Turbo,110000,4
VIN00363,T4000,2023,Diesel Turbo,110000,4
VIN00364,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00365,T6000,2024,Diesel 8-Cylinder,135000,3
VIN00366,T4000,2020,Diesel 6-Cylinder,110000,4
VIN00367,T9000,2023,Diesel 8-Cylinder,195000,2
VIN00368,T6000,2023,Diesel Turbo,135000,3
VIN00369,T9000,2020,Diesel 6-Cylinder,195000,2
VIN00370,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00371,T2000,2024,Diesel Turbo,85000,4
VIN00372,T4000,2022,Diesel 8-Cylinder,110000,4
VIN00373,T9000,2024,Diesel 8-Cylinder,195000,2
VIN00374,T4000,2024,Diesel 8-Cylinder,110000,4
VIN00375,T2000,2020,Diesel Turbo,85000,4
VIN00376,T6000,2024,Diesel Turbo,135000,3
VIN00377,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00378,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00379,T8000,2023,Diesel 8-Cylinder,160000,3
VIN00380,T6000,2022,Diesel 8-Cylinder,135000,3
VIN00381,T2000,2022,Diesel 8-Cylinder,85000,4
VIN00382,T9000,2023,Diesel 6-Cylinder,195000,2
VIN00383,T2000,2020,Diesel 6-Cylinder,85000,4
VIN00384,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00385,T4000,2024,Diesel Turbo,110000,4
VIN00386,T4000,2020,Diesel 8-Cylinder,110000,4
VIN00387,T4000,2023,Diesel Turbo,110000,4
VIN00388,T2000,2022,Diesel Turbo,85000,4
VIN00389,T2000,2020,Diesel Turbo,85000,4
VIN00390,T4000,2021,Diesel Turbo,110000,4
VIN00391,T4000,2020,Diesel 8-Cylinder,110000,4
VIN00392,T8000,2022,Diesel 6-Cylinder,160000,3
VIN00393,T8000,2024,Diesel 6-Cylinder,160000,3
VIN00394,T8000,2024,Diesel Turbo,160000,3
VIN00395,T6000,2024,Diesel 6-Cylinder,135000,3
VIN00396,T6000,2022,Diesel 6-Cylinder,135000,3
VIN00397,T2000,2022,Diesel 8-Cylinder,85000,4
VIN00398,T4000,2021,Diesel 6-Cylinder,110000,4
VIN00399,T4000,2023,Diesel 6-Cylinder,110000,4
VIN00400,T2000,2020,Diesel 6-Cylinder,85000,4
VIN00401,T6000,2021,Diesel 8-Cylinder,135000,3
VIN00402,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00403,T4000,2022,Diesel Turbo,110000,4
VIN00404,T4000,2020,Diesel 6-Cylinder,110000,4
VIN00405,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00406,T6000,2022,Diesel 8-Cylinder,135000,3
VIN00407,T6000,2023,Diesel Turbo,135000,3
VIN00408,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00409,T8000,2020,Diesel 8-Cylinder,160000,3
VIN00410,T4000,2022,Diesel Turbo,110000,4
VIN00411,T6000,2023,Diesel Turbo,135000,3
VIN00412,T6000,2020,Diesel 6-Cylinder,135000,3
VIN00413,T4000,2024,Diesel 6-Cylinder,110000,4
VIN00414,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00415,T8000,2022,Diesel 8-Cylinder,160000,3
VIN00416,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00417,T6000,2021,Diesel 6-Cylinder,135000,3
VIN00418,T4000,2021,Diesel Turbo,110000,4
VIN00419,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00420,T4000,2020,Diesel 8-Cylinder,110000,4
VIN00421,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00422,T4000,2024,Diesel 8-Cylinder,110000,4
VIN00423,T6000,2023,Diesel 8-Cylinder,135000,3
VIN00424,T2000,2020,Diesel 8-Cylinder,85000,4
VIN00425,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00426,T8000,2022,Diesel 6-Cylinder,160000,3
VIN00427,T4000,2020,Diesel 6-Cylinder,110000,4
VIN00428,T4000,2023,Diesel Turbo,110000,4
VIN00429,T2000,2022,Diesel Turbo,85000,4
VIN00430,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00431,T2000,2020,Diesel Turbo,85000,4
VIN00432,T4000,2022,Diesel 8-Cylinder,110000,4
VIN00433,T6000,2021,Diesel 6-Cylinder,135000,3
VIN00434,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00435,T2000,2021,Diesel Turbo,85000,4
VIN00436,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00437,T8000,2024,Diesel 8-Cylinder,160000,3
VIN00438,T6000,2024,Diesel Turbo,135000,3
VIN00439,T6000,2024,Diesel 8-Cylinder,135000,3
VIN00440,T8000,2022,Diesel 6-Cylinder,160000,3
VIN00441,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00442,T6000,2022,Diesel Turbo,135000,3
VIN00443,T2000,2024,Diesel 6-Cylinder,85000,4
VIN00444,T2000,2023,Diesel 6-Cylinder,85000,4
VIN00445,T2000,2022,Diesel 6-Cylinder,85000,4
VIN00446,T6000,2020,Diesel Turbo,135000,3
VIN00447,T4000,2023,Diesel 8-Cylinder,110000,4
VIN00448,T4000,2020,Diesel 8-Cylinder,110000,4
VIN00449,T9000,2024,Diesel Turbo,195000,2
VIN00450,T2000,2024,Diesel 8-Cylinder,85000,4
VIN00451,T4000,2020,Diesel 8-Cylinder,110000,4
VIN00452,T2000,2022,Diesel Turbo,85000,4
VIN00453,T2000,2021,Diesel 6-Cylinder,85000,4
VIN00454,T2000,2023,Diesel 8-Cylinder,85000,4
VIN00455,T4000,2024,Diesel 6-Cylinder,110000,4
VIN00456,T4000,2022,Diesel 8-Cylinder,110000,4
VIN00457,T4000,2022,Diesel Turbo,110000,4
VIN00458,T4000,2022,Diesel 6-Cylinder,110000,4
VIN00459,T2000,2024,Diesel Turbo,85000,4
VIN00460,T4000,2022,Diesel Turbo,110000,4
VIN00461,T8000,2024,Diesel 6-Cylinder,160000,3
VIN00462,T2000,2024,Diesel Turbo,85000,4
VIN00463,T2000,2022,Diesel 8-Cylinder,85000,4
VIN00464,T9000,2023,Diesel 6-Cylinder,195000,2
VIN00465,T4000,2020,Diesel 8-Cylinder,110000,4
VIN00466,T4000,2022,Diesel 6-Cylinder,110000,4
